beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id
"Old Brown Dog Ale","Smuttynose Brewing Co.","Brown Ale - American",6.5,30,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2015-11-24 19:27:02",https://untappd.com/c/248603140,https://untappd.com/beer/5158,https://untappd.com/brewery/1160,"United States",Hampton,NH,,,,248603140,5158,1160
Jubelale,"Deschutes Brewery","Winter Ale",6.7,65,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.5,"2015-11-24 19:27:34",https://untappd.com/c/248603444,https://untappd.com/beer/6907,https://untappd.com/brewery/441,"United States",Bend,OR,,,,248603444,6907,441
"Brooklyn Brown Ale","Brooklyn Brewery","Brown Ale - American",5.6,30,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2015-11-24 20:13:47",https://untappd.com/c/248624416,https://untappd.com/beer/3557,https://untappd.com/brewery/259,"United States",Brooklyn,NY,,,,248624416,3557,259
"Indian Brown","Dogfish Head Craft Brewery","IPA - Brown",7.2,50,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2015-11-24 20:45:50",https://untappd.com/c/248638847,https://untappd.com/beer/4013,https://untappd.com/brewery/459,"United States",Milton,DE,,,,248638847,4013,459
"Armchair Stout","Blue Point Brewing Company","Stout - Irish Dry",4.4,28,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.25,"2015-12-04 21:57:14",https://untappd.com/c/252157681,https://untappd.com/beer/1019940,https://untappd.com/brewery/144,"United States",Patchogue,NY,,,,252157681,1019940,144
"The White Russian","Jailbreak Brewing Company","Cream Ale",5.5,13,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.5,"2015-12-11 18:45:56",https://untappd.com/c/254297762,https://untappd.com/beer/929568,https://untappd.com/brewery/62976,"United States",Laurel,MD,,,,254297762,929568,62976
"Death By Coconut (2015)","Oskar Blues Brewery","Porter - Other",6.5,45,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.5,"2015-12-11 19:59:33",https://untappd.com/c/254351451,https://untappd.com/beer/1330904,https://untappd.com/brewery/956,"United States",Longmont,CO,,,,254351451,1330904,956
"Bourbon County Brand Coffee Stout (2015)","Goose Island Beer Co.","Stout - American Imperial / Double",12.4,60,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4.25,"2015-12-19 21:42:57",https://untappd.com/c/257272707,https://untappd.com/beer/1243951,https://untappd.com/brewery/2898,"United States",Chicago,IL,,,,257272707,1243951,2898
"Bourbon County Brand Coffee Stout (2015)","Goose Island Beer Co.","Stout - American Imperial / Double",12.4,60,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4.5,"2015-12-27 14:17:47",https://untappd.com/c/260437668,https://untappd.com/beer/1243951,https://untappd.com/brewery/2898,"United States",Chicago,IL,,,,260437668,1243951,2898
"Bourbon County Brand Regal Rye Stout","Goose Island Beer Co.","Stout - American Imperial / Double",13.2,60,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4.75,"2015-12-27 14:19:22",https://untappd.com/c/260438227,https://untappd.com/beer/1181379,https://untappd.com/brewery/2898,"United States",Chicago,IL,,,,260438227,1181379,2898
