geoid,rate_2010,state,urbanity,name,total_pop,total_hholds,speak_only_english,educ_less_than_hs,educ_hs_grad,educ_some_college,educ_college_grad,educ_post_grad,income_u10k,income_10k_to_u15k,income_15k_to_u25k,income_25k_to_u35k,income_35k_to_u50k,income_50k_to_u65k,income_65k_to_u75k,income_75k_or_more,marital_never_married,livinginarea_1_to_4,livinginarea_5_to_17,livinginarea_18_to_19,livinginarea_20_to_49,livinginarea_50_plus,citizenship_non_citizen,incomepovertyratio_u1,incomepovertyratio_1_to_2,incomepovertyratio_2_plus,hh_with_earnings,employ_employed,employ_unemployed,inequality_index_gini,hhtype_married_couple,hhtype_m_householder,hhtype_f_householder,hhtype_living_alone,traveltowork_drove_alone,traveltowork_carpooled,traveltowork_public_transit,commutetime_u10,commutetime_10_30,commutetime_30_60,commute_time_60_90,commutetime_90_plus,structure_year_built_median,worktype_for_profit,worktype_non_profit,worktype_government
_31067,0.75,NE,micropolitan,"Gage County, Nebraska",3344.0,1507.0,0.9615116441221588,0.11135758651286602,0.3968817340600837,0.31765749778172137,0.12371656737229053,0.050386614273038415,0.2199165686169644,0.10637501337041397,0.18670446037009306,0.15488287517381538,0.14210075943951225,0.06834955610225693,0.02048347416836025,0.03925553535137448,0.23280564766285164,0.05183508631784494,0.1641148537700262,0.029556650246305417,0.3652420893800204,0.3892513202858031,0.005319380858949205,0.139597593860195,0.2366728894420245,0.6237295166977805,0.7605858007004139,0.6316681241801486,0.035690861390467864,0.40399999999999997,0.522975697760798,0.0336410909476812,0.08022922636103152,0.31476175315716864,0.8007595160293208,0.10589066501810476,0.0,0.3282385130672705,0.4315501462402113,0.18577224266440232,0.032550240588734784,0.021888857439381074,1959.0,0.9999636284280208,0.8787735505928567,3.7850803811740734
_31069,0.56,NE,non_core,"Garden County, Nebraska",488.0,286.0,0.9632975719932242,0.10415248468345814,0.3076923076923077,0.3641933287950987,0.1933287950987066,0.03063308373042886,0.24477244772447726,0.1875768757687577,0.15928659286592867,0.14883148831488316,0.1137761377613776,0.04920049200492005,0.012915129151291513,0.01968019680196802,0.14944649446494465,0.04444444444444445,0.11273712737127373,0.020054200542005417,0.2682926829268293,0.5544715447154471,0.0,0.19083969465648856,0.4656488549618321,0.3435114503816794,0.8016336056009334,0.5808869456589631,0.021236727045596503,0.39799999999999996,0.5694282380396732,0.015169194865810968,0.10151691948658108,0.29054842473745623,0.6152125279642058,0.13087248322147652,0.0022371364653243847,0.5182767624020888,0.2780678851174935,0.16449086161879894,0.02610966057441253,0.013054830287206266,1939.0,1.0252566636140166,1.3903696920036632,3.2319371475394036
_31071,0.62,NE,non_core,"Garfield County, Nebraska",423.0,229.0,0.9592612710483432,0.11896178803172315,0.38428262436914207,0.35039653929343906,0.08795962509012256,0.058399423215573176,0.23425692695214104,0.1429471032745592,0.2518891687657431,0.1429471032745592,0.10894206549118388,0.039042821158690184,0.02329974811083124,0.027707808564231738,0.15428211586901766,0.03536141445657826,0.16484659386375455,0.03692147685907436,0.3031721268850754,0.4596983879355174,0.01629863301787592,0.1111111111111111,0.2617283950617284,0.6271604938271605,0.7753456221198156,0.7007772020725389,0.009067357512953369,0.382,0.5794930875576036,0.0069124423963133645,0.0748847926267281,0.3145161290322581,0.6820702402957486,0.07855822550831792,0.0,0.5724417426545086,0.3080040526849038,0.0729483282674772,0.014184397163120569,0.03242147922998987,1951.0,1.0466242038216558,0.930751592356688,3.0095796178343948
_31073,0.56,NE,micropolitan,"Gosper County, Nebraska",521.0,255.0,0.9775219298245614,0.057929036929761035,0.4380883417813179,0.33526430123099205,0.1216509775524982,0.04706734250543085,0.21121251629726207,0.1088657105606258,0.2314211212516297,0.1544980443285528,0.11994784876140807,0.05215123859191656,0.016297262059973925,0.059973924380704036,0.14863102998696218,0.04436511983681795,0.182559918408975,0.007139214686384498,0.29678735339112705,0.4691483936766956,0.002587991718426501,0.07925407925407925,0.3869463869463869,0.5337995337995338,0.8220551378446115,0.6299934512115258,0.010478061558611656,0.442,0.6215538847117794,0.03132832080200501,0.07142857142857142,0.2330827067669173,0.7539766702014846,0.11664899257688227,0.009544008483563095,0.26755852842809363,0.5105908584169454,0.1850613154960981,0.033444816053511704,0.0033444816053511705,1964.0,1.0290294627383016,1.1373483535528597,4.118457538994801
_31075,0.64,NE,non_core,"Grant County, Nebraska",252.0,142.0,0.9914089347079038,0.022779043280182237,0.4920273348519362,0.3052391799544419,0.1252847380410023,0.054669703872437365,0.2817460317460317,0.11507936507936507,0.1746031746031746,0.10515873015873016,0.10912698412698413,0.08928571428571429,0.01984126984126984,0.047619047619047616,0.14682539682539686,0.029684601113172542,0.1725417439703154,0.005565862708719851,0.3692022263450835,0.4230055658627087,0.0,0.3083333333333333,0.325,0.36666666666666653,0.8964285714285715,0.7269076305220884,0.028112449799196783,0.385,0.6178571428571429,0.042857142857142864,0.07857142857142857,0.24285714285714285,0.4927953890489914,0.031700288184438034,0.0,0.596958174904943,0.2851711026615969,0.06463878326996197,0.04182509505703422,0.01140684410646388,1947.0,0.9950081642174016,1.530814089106601,4.0334966176813625
_31077,0.7,NE,non_core,"Greeley County, Nebraska",626.0,301.0,0.9859728506787332,0.10149439601494396,0.4582814445828145,0.3094645080946451,0.10398505603985056,0.026774595267745952,0.2573131094257855,0.12351029252437705,0.18851570964247025,0.14626218851570966,0.12405200433369447,0.043878656554712896,0.01516793066088841,0.03304442036836403,0.20801733477789816,0.045981772990886495,0.2046396023198012,0.02734051367025684,0.2775476387738194,0.4444904722452361,0.001279863481228669,0.2275042444821732,0.3548387096774194,0.41765704584040747,0.8235294117647058,0.6417497231450721,0.009966777408637871,0.374,0.5638179800221975,0.02996670366259712,0.08990011098779134,0.2974472807991121,0.6559139784946236,0.0967741935483871,0.0,0.5075921908893709,0.2689804772234273,0.1475054229934924,0.05639913232104121,0.019522776572668116,1939.0,1.080442455022811,0.9280795386072136,3.736549883790996
_31079,0.8,NE,small_metro,"Hall County, Nebraska",5082.0,2091.0,0.822775323445882,0.16464884175905187,0.3522640278998554,0.3161983611670305,0.11369758144546202,0.05319118772860019,0.1942714819427148,0.09690077304447944,0.19471792100378302,0.16525294297328413,0.13684532061373622,0.07086632674639913,0.024671632322188018,0.05021264597382457,0.24429615357503698,0.06753006475485661,0.19690762521474825,0.03047065264588722,0.3842436141894315,0.3208480431950764,0.08825378576945876,0.14168697535878688,0.3418629840238289,0.5164500406173842,0.8341000844991081,0.6940648043619244,0.03182571517786372,0.408,0.5305605107501643,0.028776640691014932,0.1280161487184302,0.2649985916815322,0.8099603567888999,0.1257610080702251,0.001734390485629336,0.2790886001398756,0.6093790260242206,0.0957043471859241,0.008502963153826334,0.00732506349615342,1969.0,0.9760117678120168,0.8683664617357523,4.698826990532947
_31081,0.87,NE,small_metro,"Hamilton County, Nebraska",1439.0,594.0,0.9667618503712164,0.0500327011118378,0.3803139306736429,0.3634728580771746,0.1618705035971223,0.044310006540222366,0.2362788144895719,0.10249725576289792,0.17247530186608126,0.1509330406147091,0.14818880351262348,0.06860592755214051,0.02703073545554336,0.05118002195389682,0.18441273326015367,0.04144908616187989,0.20593994778067884,0.039490861618798966,0.3451914708442124,0.36792863359443,0.0007525263384218447,0.09411276948590383,0.2661691542288557,0.6397180762852405,0.8047072008966097,0.6924047085201793,0.03797645739910314,0.37200000000000005,0.6357523115718688,0.02101428971700757,0.06500420285794341,0.24936957130848975,0.7577394556409723,0.10284645751090796,0.0,0.3372646858698117,0.4229984123383987,0.21750963937400766,0.007031072805624858,0.015196189612156952,1964.0,0.9738286831616154,1.0810709182522371,4.617394901105513
_31083,0.55,NE,non_core,"Harlan County, Nebraska",727.0,439.0,0.9858401510383891,0.10875,0.39625,0.31625,0.13375,0.045,0.218292247231154,0.12040014290818148,0.1904251518399428,0.17541979278313682,0.12004287245444803,0.062165058949624874,0.01822079314040729,0.03894247945694891,0.16505894962486606,0.04618872201756872,0.15840181354491356,0.0320204023802777,0.3241711533012185,0.4392179087560215,0.002388059701492537,0.21148036253776434,0.1933534743202417,0.595166163141994,0.7137280416395576,0.6204140937159462,0.014529604068289141,0.446,0.556929082628497,0.039037085230969416,0.05335068314899154,0.3220559531554977,0.7793572311495673,0.1131025957972806,0.0,0.3871177618737801,0.3539362394274561,0.1867273910214704,0.04229017566688354,0.029928432010409886,1959.0,0.9579139223727268,0.8802452259641275,4.5768609419659505
_31085,0.54,NE,non_core,"Hayes County, Nebraska",248.0,128.0,0.9241803278688524,0.11341632088520055,0.31258644536652835,0.3872752420470263,0.16597510373443985,0.020746887966804982,0.2755453501722158,0.07003444316877153,0.15958668197474168,0.12284730195177955,0.17221584385763491,0.06659012629161883,0.02296211251435132,0.03329506314580941,0.1871412169919633,0.04280155642023346,0.14688715953307396,0.002918287937743191,0.3579766536964981,0.4494163424124514,0.03448275862068965,0.09132420091324199,0.3059360730593607,0.6027397260273972,0.8266932270916335,0.6728754365541327,0.011641443538998836,0.371,0.6374501992031872,0.017928286852589643,0.011952191235059759,0.3326693227091633,0.5739750445632799,0.1176470588235294,0.0,0.3310657596371882,0.32653061224489793,0.24263038548752835,0.090702947845805,0.0090702947845805,1939.0,1.2805250023107495,0.4043811812551992,3.867686477493298
