state,geoid,name,total_pop,total_hholds,speak_only_english,educ_less_than_hs,educ_hs_grad,educ_some_college,educ_college_grad,educ_post_grad,income_u10k,income_10k_to_u15k,income_15k_to_u25k,income_25k_to_u35k,income_35k_to_u50k,income_50k_to_u65k,income_65k_to_u75k,income_75k_or_more,marital_never_married,livinginarea_1_to_4,livinginarea_5_to_17,livinginarea_18_to_19,livinginarea_20_to_49,livinginarea_50_plus,citizenship_non_citizen,incomepovertyratio_u1,incomepovertyratio_1_to_2,incomepovertyratio_2_plus,hh_with_earnings,employ_employed,employ_unemployed,inequality_index_gini,hhtype_married_couple,hhtype_m_householder,hhtype_f_householder,hhtype_living_alone,traveltowork_drove_alone,traveltowork_carpooled,traveltowork_public_transit,commutetime_u10,commutetime_10_30,commutetime_30_60,commute_time_60_90,commutetime_90_plus,structure_year_built_median,worktype_for_profit,worktype_non_profit,worktype_government
KS,_20031,"Coffey County, Kansas",1716,721,0.9831700577744286,0.09101878986381658,0.39803482158248576,0.3202896052404758,0.13721772108257196,0.05343906223064989,0.204655248133509,0.12121212121212122,0.1711316059142146,0.15751720099546188,0.12662860488947444,0.06529058702971746,0.03001024740155175,0.05899575464792856,0.16586151368760063,0.049478207489257214,0.18084714548802946,0.028360957642725598,0.3619398403928791,0.37937384898710863,0.0035410764872521247,0.14548238897396631,0.1919346605410924,0.6625829504849413,0.8310488676996425,0.6454301875558202,0.017862459065197976,0.385,0.6129320619785459,0.03128724672228844,0.06912991656734208,0.24404052443384983,0.7419962335216572,0.1824387947269303,0.0018832391713747645,0.3319410319410319,0.41203931203931204,0.16732186732186732,0.06068796068796069,0.02800982800982801,1964.0,1.1329892378651438,0.5976645435244161,3.8725748590672815
KS,_20033,"Comanche County, Kansas",308,195,0.9795454545454545,0.07260479041916168,0.4333832335329341,0.3263473053892216,0.125,0.04266467065868264,0.19830949284785435,0.12418725617685306,0.19440832249674903,0.11183355006501951,0.13198959687906373,0.11833550065019506,0.03836150845253576,0.043563068920676205,0.19570871261378414,0.046585494970884066,0.15669666490206458,0.005823186871360508,0.27051349920592904,0.5203811540497618,0.008648648648648649,0.13297872340425532,0.26861702127659576,0.598404255319149,0.8335183129855716,0.6651193633952255,0.005968169761273209,0.423,0.46059933407325193,0.017758046614872364,0.058823529411764705,0.41509433962264153,0.7807106598984772,0.07208121827411168,0.007106598984771574,0.5538461538461539,0.2967032967032967,0.11978021978021978,0.02967032967032967,0.0,1943.0,0.8839888102682244,1.1989139377982556,2.657363830837584
KS,_20035,"Cowley County, Kansas",3455,1504,0.9404164576016056,0.13108394605079166,0.317335017366593,0.35865397627317425,0.12819703189137985,0.06473002841806126,0.22338626672548154,0.11505660932215851,0.15552859873548008,0.14240552859873548,0.12126893103955301,0.06579914718423761,0.0309145713865608,0.046169680929275106,0.2415086016762241,0.05023499969480559,0.1896172862113166,0.03128242690593908,0.3873527436977355,0.34151254349020327,0.01615034503009837,0.20387625792023853,0.3012796620698223,0.4948440800099391,0.7870349907918969,0.5923500130992926,0.03716456454208616,0.411,0.5138121546961326,0.04287292817679558,0.11734806629834255,0.2772744014732965,0.8045122503070657,0.13174736569914022,0.004201952291680134,0.3328693577251939,0.4521110890170345,0.14867104129382913,0.0505733412872009,0.015775170676741567,1955.0,1.0013659128851116,0.7569813325239034,3.273030808923964
KS,_20037,"Crawford County, Kansas",3681,1655,0.9499144544400905,0.11809100998890122,0.3087236403995561,0.31991120976692566,0.15715871254162042,0.09611542730299667,0.28296520997250924,0.1240243940973868,0.16099472303851867,0.1344203242013461,0.10402249818308212,0.04518595759471672,0.014788131576452744,0.039782601826397444,0.3251177046797485,0.05330844223190209,0.16352935075710434,0.03935905413814561,0.4333644472101224,0.3104387056627256,0.022720231333264482,0.19246231155778895,0.2971105527638191,0.5104271356783919,0.754350694226299,0.5713781372360228,0.04092046986327749,0.458,0.47257649054470063,0.030156436514418548,0.09134887227492618,0.29848589558333855,0.8288283062645012,0.07894431554524362,0.0002320185614849188,0.3481521478281737,0.4821814254859611,0.12958963282937366,0.025497960163186947,0.014578833693304536,1961.0,0.9581323887158039,1.007383380990995,3.880926977081644
KS,_20039,"Decatur County, Kansas",452,250,0.9831519831519832,0.11644134321849106,0.4348015699956389,0.27911033580462274,0.10074138682948103,0.06890536415176625,0.2534327187132209,0.1329933307179286,0.19772459788152216,0.12710867006669282,0.15535504119262455,0.030992546096508436,0.029030992546096507,0.036877206747744216,0.16123970184386033,0.02654867256637168,0.14295439074200136,0.009870660313138189,0.320285908781484,0.5003403675970047,0.0020229265003371545,0.31721470019342357,0.15860735009671179,0.5241779497098646,0.6965923984272608,0.5726802070888093,0.007566706491437674,0.398,0.5150720838794234,0.017693315858453473,0.06880733944954129,0.3794233289646134,0.7947443181818182,0.07386363636363637,0.0,0.5518018018018018,0.30180180180180183,0.10435435435435435,0.02177177177177177,0.02027027027027027,1948.0,0.81062734082397,0.8237827715355805,4.854915730337079
KS,_20041,"Dickinson County, Kansas",2248,1043,0.9765113807952576,0.10112708900116596,0.39953361834434514,0.3050913330742324,0.13649436455499417,0.05775359502526234,0.21959327336722723,0.1078086299048364,0.17194629122669797,0.14131143266849172,0.17892061008994917,0.05664189805761961,0.014078998826750098,0.0492113153435015,0.20114717768217963,0.041771620486985725,0.18498110831234257,0.026133501259445843,0.37363560033585225,0.3734781696053736,0.0036361720067453625,0.07979749276759884,0.25265188042430087,0.6675506268081003,0.7908103154863202,0.6539556438265475,0.02409798080105925,0.377,0.578217044115722,0.036261290744861896,0.08155517737923812,0.26194528079591567,0.7723526988051092,0.1295838483724763,0.0005150391429748661,0.34848321278203603,0.4107740472848969,0.2183957681096837,0.00950016193457843,0.012846809888804923,1953.0,0.9942994299429943,0.8907140714071408,3.8424842484248423
KS,_20043,"Doniphan County, Kansas",1729,787,0.9830024476475387,0.14869668246445497,0.3809241706161137,0.3060821484992101,0.11374407582938388,0.05055292259083728,0.24072043852779954,0.105716523101018,0.16601409553641347,0.14847298355520752,0.1403288958496476,0.05027407987470634,0.01754111198120595,0.03915426781519186,0.26421299921691466,0.035941387890517006,0.17293337019629526,0.04395908211224772,0.37074923970141,0.37641692009953,0.005431971029487843,0.18198642813078347,0.3078346699568168,0.5101789019123998,0.7798495256787701,0.6039096298670085,0.03845537574106714,0.426,0.5371279031730455,0.022244030094864246,0.08897612037945699,0.3117435394177298,0.8208592272358822,0.0859227235882194,0.0029721696838692245,0.2274800456100342,0.4791904218928164,0.2348916761687571,0.04732041049030787,0.011117445838084378,1964.0,1.0142807652334578,0.7767427537626544,3.706262750683244
KS,_20045,"Douglas County, Kansas",7698,3134,0.9171259421731089,0.04702277432712215,0.20612836438923396,0.27344099378881986,0.2573913043478261,0.21601656314699794,0.3038243772943153,0.08585146317688781,0.1392662339009063,0.10831242093037725,0.1204139618806645,0.0653089159425099,0.025768919675633075,0.072681834207852,0.4729348570006429,0.042259598611850684,0.1315253116909348,0.04752942472595068,0.5411028075136336,0.23758285745763022,0.04327142907389821,0.12974111980734498,0.1792093116596428,0.6910495685330122,0.86121471658148,0.6684468413266323,0.045347238980578956,0.479,0.4233549753649215,0.03299258645300916,0.09085048579453885,0.2931113873923654,0.7539723466658071,0.10370000322299933,0.015212556805363072,0.23594880356149137,0.5071921215493836,0.22561170975194347,0.025210367447429216,0.006036997689752281,1980.0,0.9595622023560866,1.1122065335449913,3.946988052468878
KS,_20047,"Edwards County, Kansas",750,359,0.8726527825196313,0.18079625292740048,0.28852459016393445,0.33161592505854803,0.15644028103044497,0.04262295081967213,0.1561368209255533,0.11267605633802817,0.2358148893360161,0.1472837022132797,0.1472837022132797,0.05472837022132797,0.02414486921529175,0.060362173038229376,0.13601609657947686,0.04676370393310623,0.2059461133477857,0.012078042737689688,0.3632703623412821,0.37194177764013625,0.03559974342527261,0.25508819538670285,0.27408412483039346,0.4708276797829037,0.8237853517041335,0.6689995883079457,0.0177027583367641,0.442,0.5728788977519942,0.024655547498187092,0.0775924583031182,0.3118201595358956,0.7462871287128713,0.16150990099009901,0.0,0.470926517571885,0.29201277955271565,0.18977635782747604,0.022364217252396165,0.024920127795527155,1946.0,1.0298826427122574,0.6112358736598088,2.8871341640104315
KS,_20049,"Elk County, Kansas",551,316,0.9835606855543897,0.13947128532360983,0.3454876937101185,0.3240656335460346,0.12169553327256154,0.06927985414767548,0.2593774940143655,0.11971268954509177,0.19952114924181963,0.11013567438148444,0.13647246608140462,0.050678371907422186,0.010375099760574621,0.04748603351955307,0.1516360734237829,0.03169014084507042,0.15211267605633802,0.01232394366197183,0.2933098591549296,0.5105633802816901,0.0009946949602122016,0.358843537414966,0.29591836734693877,0.34523809523809523,0.7215743440233237,0.522672064777328,0.03805668016194332,0.445,0.5298833819241983,0.03935860058309038,0.08163265306122448,0.3236151603498542,0.7245796637309848,0.1176941553242594,0.0,0.3641666666666667,0.25083333333333335,0.23166666666666666,0.07333333333333333,0.08,1941.0,1.0649752741345948,0.7122339281874865,3.9691679208772306
